Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
213.5,1.466451429,176.0253641,0.040772475,1.036759475,163.0882404,0.039696623
214,1.454798445,176.0534846,0.040749091,1.038605796,163.0956174,0.039695019
214.5,1.44314546,176.081605,0.040725706,1.040452117,163.1029943,0.039693415
215,1.432071063,176.1081822,0.04070427,1.042253946,163.1100808,0.039691864
215.5,1.420996665,176.1347593,0.040682834,1.044055774,163.1171673,0.039690313
216,1.410497926,176.1598901,0.040663237,1.045813506,163.123977,0.039688812
216.5,1.399999187,176.1850208,0.04064364,1.047571238,163.1307866,0.039687311
217,1.390069919,176.2087958,0.040625777,1.049285345,163.1373321,0.039685857
217.5,1.380140651,176.2325707,0.040607913,1.050999451,163.1438776,0.039684402
218,1.370771849,176.2550744,0.040591681,1.052670467,163.150171,0.039682992
218.5,1.361403047,176.2775781,0.040575448,1.054341482,163.1564644,0.039681581
219,1.352583306,176.2988895,0.04056075,1.055969997,163.1625171,0.039680212
219.5,1.343763564,176.3202008,0.040546051,1.057598512,163.1685697,0.039678842
220,1.33547946,176.3403936,0.040532792,1.05918516,163.1743922,0.039677512
220.5,1.327195355,176.3605864,0.040519532,1.060771808,163.1802146,0.039676182
221,1.319431799,176.3797295,0.040507623,1.062317262,163.185817,0.039674889
221.5,1.311668242,176.3988725,0.040495713,1.063862715,163.1914194,0.039673596
222,1.304408801,176.41703,0.040485067,1.065367677,163.1968112,0.039672339
222.5,1.297149359,176.4351874,0.040474421,1.066872639,163.202203,0.039671082
223,1.290376544,176.4524192,0.040464957,1.068337838,163.2073933,0.039669859
223.5,1.283603728,176.469651,0.040455493,1.069803036,163.2125835,0.039668635
224,1.277299255,176.4860131,0.040447133,1.071229219,163.2175807,0.039667445
224.5,1.270994782,176.5023751,0.040438773,1.072655401,163.2225779,0.039666254
225,1.265139806,176.5179196,0.040431442,1.07404333,163.2273902,0.039665095
225.5,1.25928483,176.533464,0.040424111,1.075431258,163.2322024,0.039663936
226,1.253860146,176.5482397,0.040417739,1.076781707,163.2368373,0.039662808
226.5,1.248435461,176.5630153,0.040411366,1.078132156,163.2414722,0.039661679
227,1.243421686,176.5770675,0.040405886,1.079445906,163.2459371,0.03966058
227.5,1.23840791,176.5911197,0.040400405,1.080759655,163.2504019,0.039659481
228,1.233785636,176.6044909,0.040395753,1.082037492,163.2547036,0.03965841
228.5,1.229163362,176.6178621,0.040391101,1.083315329,163.2590052,0.039657339
229,1.224913295,176.630592,0.040387218,1.08455804,163.2631503,0.039656296
229.5,1.220663228,176.6433219,0.040383334,1.085800751,163.2672954,0.039655252
230,1.216766301,176.6554474,0.040380162,1.087009124,163.2712901,0.039654235
230.5,1.212869374,176.6675729,0.04037699,1.088217496,163.2752848,0.039653218
231,1.209306842,176.6791287,0.040374476,1.089392315,163.2791351,0.039652228
231.5,1.20574431,176.6906844,0.040371962,1.090567133,163.2829854,0.039651237
232,1.202497833,176.7017027,0.040370056,1.091709178,163.286697,0.039650272
232.5,1.199251356,176.712721,0.040368149,1.092851222,163.2904086,0.039649306
233,1.196303063,176.723232,0.040366803,1.093961268,163.2939868,0.039648365
233.5,1.19335477,176.733743,0.040365456,1.095071313,163.297565,0.039647424
234,1.190687315,176.743775,0.040364626,1.096150126,163.301015,0.039646508
234.5,1.188019859,176.753807,0.040363795,1.097228939,163.304465,0.039645591
235,1.185616459,176.7633864,0.040363438,1.098277279,163.3077918,0.039644698
235.5,1.183213059,176.7729657,0.04036308,1.099325619,163.3111185,0.039643804
236,1.181057529,176.7821172,0.040363157,1.100344236,163.3143267,0.039642934
236.5,1.178901998,176.7912687,0.040363233,1.101362852,163.3175349,0.039642063
237,1.176978771,176.8000155,0.040363706,1.102352486,163.320629,0.039641215
237.5,1.175055543,176.8087622,0.040364179,1.103342119,163.3237231,0.039640367
238,1.173349686,176.8171259,0.040365015,1.104303498,163.3267075,0.039639541
238.5,1.171643828,176.8254895,0.04036585,1.105264876,163.3296918,0.039638715
239,1.170141049,176.8334905,0.040367015,1.106198719,163.3325705,0.03963791
239.5,1.16863827,176.8414914,0.04036818,1.107132561,163.3354491,0.039637105
240,1.167279219,176.8492322,0.040369574,1.108046193,163.338251,0.039636316
