Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
235.5,-1.834317405,22.82474087,0.133519496,-2.357714508,21.6639727,0.150905439
236,-1.834937463,22.84691499,0.133617844,-2.356803466,21.67054503,0.151110985
236.5,-1.83555752,22.86908912,0.133716192,-2.355892424,21.67711736,0.151316531
237,-1.836338493,22.89101031,0.133822859,-2.354696889,21.68330335,0.15153567
237.5,-1.837119466,22.91293151,0.133929525,-2.353501353,21.68948935,0.151754808
238,-1.838053265,22.93459762,0.134044799,-2.35201504,21.69528612,0.151987947
238.5,-1.838987063,22.95626373,0.134160073,-2.350528726,21.70108288,0.152221086
239,-1.840066601,22.97767217,0.134284227,-2.348745487,21.70648757,0.152468646
239.5,-1.841146139,22.99908062,0.134408381,-2.346962247,21.71189225,0.152716206
240,-1.84233016,23.02029424,0.134539365,-2.34495843,21.71699934,0.152974718
240.5,-1.843580575,23.04137734,0.134675001,-2.342796948,21.72190973,0.153240872
